id,store,address,latitude,longitude,store_type,product_category,city_region
MER_66,Renmark Design Shop,"1321 E Main St, Richmond, VA 23219",37.5355492,-77.4323861,Boutique,Home Goods,Jackson Ward
MER_67,Shakoor's Merchandise,"319 N. 2nd St, Richmond, VA 23219",37.5451594,-77.4394543,Ethnic Clothing,Apparel,Jackson Ward
MER_68,Utmost Co,"115 W Broad St, Richmond, VA 23220",37.5462974,-77.4435031,Clothing and Fashion,Apparel,Jackson Ward
MER_69,Barky's Record Shop,"18 E Broad St, Richmond, VA 23219",37.5455524,-77.4411469,Music Store,Music,Jackson Ward
MER_70,Waller & Co. Jewelers,"19 E. Broad St, Richmond, VA 23219",37.5449714,-77.4415004,Jewelry,Jewelry & Accessories,Jackson Ward
MER_71,whilom,"1 N 2nd St, Richmond, VA 23219",37.5421208,-77.4423263,Home Goods Store,Home Goods,Jackson Ward
MER_72,Ledbury's,"315 W Broad St, Richmond, VA 23220",37.5472718,-77.4453186,Men's Clothing,Apparel,Jackson Ward
MER_73,Serendipity,"102 W Broad St, Richmond, VA 23220",37.5464505,-77.4428678,Womens Clothing,Apparel,Jackson Ward
MER_74,Tiny Space,"2708 E Marshall St  # 7346, Richmond, VA 23223",37.5312355,-77.4156912,Home Goods Store,Home Goods,Church Hill
MER_75,Church Hill Express,"2405 E Franklin St, Richmond, VA 23223",37.530145,-77.421056,Convience Store,Variety,Church Hill
MER_76,Mo Convience Store,"2905 Nine Mile Rd, Richmond, VA 23223",37.5412074,-77.4034479,Convience Store,Variety,Church Hill
MER_77,Fine Food Market,"700 Idlewood Ave, Richmond, VA 23220",37.5420366,-77.4507009,Convience Store,Variety,Church Hill
MER_78,SR_1,"907 Floyd Ave, Richmond, VA 23284",37.546508,-77.45346,Convience Store,Variety,Church Hill
MER_79,Pleasants Hardware,"4756 Finaly St, Richmond VA 23231",37.5195128,-77.3529457,Hardware,Hardware,Church Hill
MER_80,Bayln Antenna,"4248 Oakley Ct, Richmond VA 23223",37.5364981,-77.3510272,Hardware,Hardware,Church Hill
MER_81,Adiva Naturals,"1802 E Franklin St, Richmond VA 23223",37.5337583,-77.4264368,Beauty Store,Beauty & Cosmetics,Church Hill
MER_82,Que Tee Print Shop,"1003 Masonic Ln Ste A, Richmond VA 23223",37.531275,-77.3748805,Clothing,Apparel,Church Hill
MER_83,Third Eye Comics,"11575 W Broad St, Richmond VA 23233",37.6515308,-77.615362,Toy and Comic Store,Toys and Comics,Church Hill
MER_84,"Linger Rose, LLC","2709 E Marshall St, Richmond VA 23223",37.531118,-77.4159156,Womens Clothing,Apparel,Church Hill
MER_85,Work Duds,"5215 S Laburnum Ave, Richmond VA 23231",37.5151773,-77.3490651,Clothes and Shoe Store,Footwear,Church Hill
MER_86,Dear Neighbor,"2415 Jefferson Ave, Richmond VA 23223",37.5349308,-77.4162157,Jewelry & Accessories,Jewelry & Accessories,Church Hill
MER_87,Afrikongo,"3302 Williamsburg Rd, Richmond VA 23231",37.5212528,-77.3663583,Clothing,Apparel,Church Hill
MER_88,Walgreens,"2924 Chamberlayne Ave, Richmond, VA 23222",37.571723,-77.4459047,Pharmacy,Variety,North Side
MER_89,Dollar General,"2910 North Ave, Richmond, VA 23222",37.5704484,-77.4331366,Dollar Store,Variety,North Side
MER_90,CVS,"1205 Bellevue Ave, Richmond, VA 23227",37.5907727,-77.4527627,Pharmacy,Variety,North Side
MER_91,JuJuBee's,"1205 Bellevue Ave, Richmond, VA 23227",37.5907727,-77.4527627,Home Goods Store,Home Goods,North Side
MER_92,Fine and Feather Pet Center,"5208 Lakeside Ave, Richmond, VA 23228",37.6012847,-77.4674847,Pet Store,Pet Products,North Side
MER_93,Habitat for Humanity ReStore,"1901 Roane St, Richmond, VA 23222",37.5606353,-77.4403463,Thrift Store,"Hardware, Clothing Home Decor",North Side
MER_94,Collector's Heaven,"6112 Lakeside Ave, Richmond VA 23228",37.6148877,-77.4706876,Toy Store & Hobby Shop,Toys and Comics,North Side
MER_95,Whispers of Time,"5512 Lakeside Ave, Richmond VA 23228",37.6045479,-77.467934,Boutique,Home Decor and Boutique,North Side
MER_96,Rawsugah Clothing,"2532 N Lombardy St, Richmond VA 23220",37.5666682,-77.4449074,Womens Clothing,Apparel,North Side
MER_97,Peter Blaire Accessories,"2114 Dabney Rd Ste C, Richmond VA 23230",37.5801712,-77.4822407,Mens Clothing,Apparel & Accessories,North Side
MER_98,Franco's Fine Clothier,"5321 Lakeside Ave, Richmond VA 23228",37.6021223,-77.4667179,Mens Clothing,Apparel,North Side
MER_99,Red Wing Shoe Store,"8191 Brook Rd Ste D, Richmond VA 23227",37.6348198,-77.458281,Shoe Store,Footwear,North Side
MER_100,Element Beauty Shop,"3422 W Cary St, Richmond, VA 23221",37.5552197,-77.4859599,Beauty Store,Cosmetics,Carytown
MER_101,The Carytown Collective,"3422 W Cary St, Richmond, VA 23221",37.5552197,-77.4859599,Home Goods Store,Home Goods,Carytown
MER_102,AlterNatives Boutique,"3320 W Cary St, Richmond, VA 23221",37.5547253,-77.484694,Boutique,Jewelry,Carytown
MER_103,Roan,"3142 W Cary St, Richmond, VA 23221",37.5538716,-77.4815946,Clothing,Apparel,Carytown
MER_104,Element Beauty Shop,"3101 W Cary St, Richmond, VA 23221",37.5529341,-77.4805557,Clothing,Apparel,Carytown
MER_105,Creme de le Creme,"3156 W Cary St, Richmond, VA 23221",37.5539909,-77.4820502,Home Goods Store,Home Goods,Carytown
MER_106,Luxor Vintage Clothing,"3001 W Cary St, Richmond, VA 23221",37.5523153,-77.479057,Clothing,Apparel,Carytown
MER_107,Buffalo Exchange,"3140 W Cary St B, Richmond, VA 23221",37.5539904,-77.4813335,Clothing,Apparel,Carytown
MER_108,Trove,"115 Freeman Rd, Richmond, VA 23221",37.5540906,-77.4847948,Antique Store,Jewelry,Carytown
MER_109,Brick and Mortar,"3011 W Cary St, Richmond, VA 23221",37.5524817,-77.4793545,Clothing,Apparel,Carytown
MER_110,Zest Clothing and Co,"3140A W Cary St, Richmond, VA 23221",37.5539904,-77.4813335,Clothing,Apparel,Carytown
MER_111,Exit 94 Unlimited,"3224 W Cary St, Richmond, VA 23221",37.5543854,-77.4834022,Clothing,Apparel,Carytown
MER_112,Walgreens,"3520 Ellwood Ave, Richmond, VA 23221",37.5572113,-77.4876801,Pharmacy,Variety,Carytown
MER_113,Mamie's Apothecary,"3020 W Cary St, Richmond, VA 23221",37.5529202,-77.4794598,Health and Beauty,Cosmetics,Carytown
MER_114,bbgb,"3003 W Cary St, Richmond, VA 23221",37.5523349,-77.4791263,Book Store,Literature,Carytown
MER_115,Chop Suey Books,"2913 W Cary St, Richmond, VA 23221",37.5520964,-77.4783019,Book Store,Literature,Carytown
MER_116,Custom Ink,"3401 W Cary St, Richmond, VA 23221",37.5544528,-77.4848284,Clothing,Apparel,Carytown
MER_117,Petco,"10 N Nansemond St  # c, Richmond, VA 23221",37.5570376,-77.4860096,Pet Store,Pet Products,Carytown
MER_118,Family Dollar,"1903 W Main St, Richmond, VA 23220",37.5484149,-77.4650433,Dollar Store,Variety,Carytown
MER_119,Mongrel,"2924 W Cary St, Richmond, VA 23221",37.5524092,-77.4782772,Gift Shop,Boutique,Carytown
MER_120,Plan 9,"3017 W Cary St, Richmond, VA 23221",37.5525341,-77.4795709,Music Store,"Music, Viynl Records",Carytown
MER_121,Bangles and Beades,"3322 W Cary St, Richmond, VA 23221",37.5548597,-77.4847052,Antique Store,Accessories,Carytown
MER_122,Premier Costumes,"3339 W Cary St, Richmond, VA 23221",37.5542637,-77.4844027,Clothing and Costume Store,Apparel,Carytown
MER_123,Quirk Gallery,"207 W Broad St, Richmond, VA 23220",37.5441654,-77.4401888,Boutique,Boutique,Carytown
MER_124,Merry Maker,"3022 W Cary St, Richmond, VA 23221",37.5530182,-77.4795744,Boutique,Cards & Boutique,Carytown
MER_125,World of Mirth,"3005 W Cary St, Richmond, VA 23221",37.5523286,-77.4792031,Toy Store,Toys,Carytown
MER_126,One Eye Jacques,"3104 W Cary St, Richmond, Va 23221",37.5532495,-77.4802017,Toy Store and Hobby Shop,Toys and Games,Carytown
